work_cid,target_title,plan_before_title,current_title,final_title,manager_name,status,reason,missing_required_fields,stuffed_fields,get_status,put_status,server_message,server_body
160347,[정산정보없음]_LUST,LUST,LUST,[정산정보없음]_LUST,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160354,[정산정보없음]_이시대의민며느리,이시대의민며느리,이시대의민며느리,[정산정보없음]_이시대의민며느리,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160355,[정산정보없음]_우울증여자결벽증남자,우울증여자결벽증남자,우울증여자결벽증남자,[정산정보없음]_우울증여자결벽증남자,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160362,[정산정보없음]_몸으로우는소쩍새,몸으로우는소쩍새,몸으로우는소쩍새,[정산정보없음]_몸으로우는소쩍새,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme,genrCd",,,,,
160366,[정산정보없음]_얼룩진자리,얼룩진자리,얼룩진자리,[정산정보없음]_얼룩진자리,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160384,[정산정보없음]_러브바이러스,러브바이러스,러브바이러스,[정산정보없음]_러브바이러스,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160387,[정산정보없음]_만약에,만약에,만약에,[정산정보없음]_만약에,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160388,[정산정보없음]_글로리하우스의뒷담화,글로리하우스의뒷담화,글로리하우스의뒷담화,[정산정보없음]_글로리하우스의뒷담화,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160396,[정산정보없음]_조선명탐정정약용-밀행,조선명탐정정약용-밀행,조선명탐정정약용-밀행,[정산정보없음]_조선명탐정정약용-밀행,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160397,[정산정보없음]_섹스공화국,섹스공화국,섹스공화국,[정산정보없음]_섹스공화국,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
160398,[정산정보없음]_유전자의절규:제4회아이작가S문학공모당선작,유전자의절규:제4회아이작가S문학공모당선작,유전자의절규:제4회아이작가S문학공모당선작,[정산정보없음]_유전자의절규:제4회아이작가S문학공모당선작,김인희,updated,verified_after_reload,"svcTyCd,mnplyCd,serlPargCyclCd,ctnsExptQntCd,exptSerlMt,exptSerlTme",,,,,
